CLASS,PERCENTAGE
no-mask,97.49681949615479
no-mask,97.62580394744873
no-mask,97.73949980735779
no-mask,97.78192639350891
no-mask,97.80992865562439
no-mask,97.91250824928284
no-mask,98.00965785980225
no-mask,98.0292797088623
no-mask,98.07546734809875
no-mask,97.98946976661682
no-mask,97.90033102035522
no-mask,97.95956015586853
no-mask,97.94694781303406
no-mask,98.12599420547485
no-mask,98.2538640499115
no-mask,98.30373525619507
no-mask,98.3503520488739
no-mask,98.19339513778687
no-mask,97.21836447715759
no-mask,95.6367552280426
no-mask,94.00325417518616
no-mask,93.45906972885132
half-mask,31.05607032775879
no-mask,89.97960686683655
half-mask,31.493595242500305
no-mask,88.6217713356018
half-mask,30.726146697998047
no-mask,88.56492638587952
no-mask,90.68465828895569
no-mask,90.05489349365234
half-mask,32.5160413980484
no-mask,85.91252565383911
no-mask,88.88596296310425
no-mask,93.03574562072754
no-mask,95.46267986297607
no-mask,95.62026262283325
no-mask,96.14787101745605
no-mask,96.47282361984253
no-mask,96.52984738349915
no-mask,96.03087306022644
with-mask,64.99366164207458
no-mask,96.12712264060974
with-mask,67.4211323261261
no-mask,96.48719429969788
with-mask,59.697020053863525
no-mask,96.50735259056091
half-mask,32.29879140853882
no-mask,96.32837176322937
half-mask,38.33115100860596
no-mask,96.59726619720459
half-mask,37.76691555976868
no-mask,96.5974509716034
half-mask,37.72127330303192
no-mask,96.45148515701294
half-mask,31.245005130767822
no-mask,33.669158816337585
no-mask,96.66966199874878
half-mask,31.83988332748413
no-mask,40.88886380195618
no-mask,96.13393545150757
no-mask,43.42975914478302
half-mask,33.001723885536194
no-mask,72.6128876209259
no-mask,81.17727637290955
no-mask,72.28608727455139
no-mask,80.68655133247375
no-mask,72.71942496299744
no-mask,78.30736041069031
no-mask,85.1106345653534
no-mask,86.13816499710083
no-mask,82.84339308738708
no-mask,89.44379687309265
no-mask,93.61047148704529
no-mask,75.78848600387573
no-mask,92.87025928497314
no-mask,91.76748394966125
no-mask,89.23193216323853
no-mask,91.65162444114685
no-mask,90.63169956207275
no-mask,69.38572525978088
no-mask,82.2198212146759
no-mask,95.74949145317078
no-mask,95.66020369529724
no-mask,92.45439767837524
no-mask,92.17526912689209
no-mask,87.40198612213135
no-mask,95.69324851036072
no-mask,95.51794528961182
